id	artist	album	genre	year	discs	speed	bought
523	Modern Romance	Trick of the Light	Pop, New Wave, Salsa	1983		33	2012
522	Various	Traditional Songs of Mexico	Mexican Folk	1968		33	2011
521	Various	Traditional Flute Music of the Andes	Andean, Folk	1973		33	2014
520	Neil Diamond	Touching You Touching Me	Pop, Rock	1966		33	2010
519	Amazing Rhythm Aces	Too Stuffed to Jump	Southern Rock	1976		33	2012
518	Elton John	Too Low For Zero	Rock, Pop, New Wave	1983		33	2010
517	The Four Tops	Tonight	Soul, Pop	1981		33	2010
516	The Who	Tommy	Rock, Hard Rock, Power Pop	1969		33	2010
515	PotShot	til I die	Ska Punk, J-Ska	2000		33	2010
514	Michael Jackson	Thriller	Pop	1982		33	2014
513	Louis Armstrong	This is Louis Armstrong Part 1	Jazz, Dixieland Jazz			33	2012
512	Sly and the Family Stone	There's a Riot Goin' On	Funk, Psychedelic Funk, Avant Pop, Avant Soul	1971		33	2014
511	Various	Themes	Soundtrack			33	2010
510	Eagles	Their Greatest	Rock, Soft Rock	1976		33	2010
509	Yes	The Yes Album	Progressive Rock	1971		33	2009
508	Bruce Springsteen	The Wild, the Innocent & the Street Shuffle	Rock and Roll, Rhythm and Blues	1973		33	2013
507	John Willbraham	The Well-Tempered Trumpet	Classical			33	2010
506	Bill Monroe	The Weary Traveler	Bluegrass, Gospel, Country, Folk	1976		33	2012
505	Johann Strauss	The Vienna of Johann Strauss	Classical			33	2010
504	Link 80	The Struggle Continues...	Punk Rock, Pop Punk, Ska Punk, Skacore	2000		33	2010
503	Billy Joel	The Stranger	Rock, Pop	1977		33	2010
502	The Who	The Story of the Who	Rock, Hard Rock, Power Pop	1976		33	2012
501	Scott Joplin	The Sting	Soundtrack, Ragtime	1973		33	2012
500	Ravi Shankar	The Sounds of India	Hindustani Classical	1968		33	2012
499	George Frederick Handel	The Six Organ Concertos and Six Fugues	Classical			33	2010
498	Carpenters	The Singles: 1969-1973	Pop	1973		33	2010
497	Various	The Singing Detective	Soundtrack	1986		33	2010
496	Mike Seeger	The Second Annual Farewell Reunion	Folk	1973		33	2010
495	Various	The Royal Tournament 1985	Classical			33	2010
494	George Frederick Handel	The Popular Mr. Handel	Classical			33	2009
493	Gary Numan	The Pleasure Principle	Synth-Pop, New Wave	1979		33	2012
492	Holst	Planets	Classical			33	2007
